Year,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Rbat,Rbaser,Rdp,Rfield,Rpos,RAA,WAA,Rrep,RAR,WAR,waaWL%,162WL%,oWAR,dWAR,oRAR,Awards
2004,21,51,151,135,12,36,6,0,2,15,0,1,13,20,0.267,0.329,0.356,0.684,78,48,4,0,2,1,3,-5,0,0,2,3,0,-0.1,5,4,0.4,0.499,0.5,0.2,0.4,2,0
2005,22,114,421,385,36,97,15,1,8,49,2,3,23,30,0.252,0.295,0.358,0.654,70,138,10,2,8,3,3,-14,-3,1,11,7,2,0.2,13,15,1.4,0.502,0.501,0.3,1.8,4,0
2006,23,129,461,417,29,90,26,0,6,49,1,2,26,41,0.216,0.274,0.321,0.595,53,134,15,8,8,2,2,-30,-3,-2,13,7,-14,-1.5,14,0,-0.2,0.489,0.491,-1.4,2,-13,0
2007,24,111,396,353,30,97,15,0,6,40,1,1,34,43,0.275,0.34,0.368,0.708,85,130,18,3,2,4,5,-8,-1,-2,15,6,10,0.9,12,22,2.1,0.509,0.506,0.6,2.1,7,0
2008,25,124,485,444,37,135,18,0,7,56,0,2,32,29,0.304,0.349,0.392,0.74,96,174,21,1,3,5,4,-3,-4,-3,3,7,0,-0.1,15,16,1.3,0.5,0.5,1.1,1,13,1
2009,26,140,544,481,45,141,23,1,6,54,9,3,50,39,0.293,0.366,0.383,0.749,100,184,27,6,6,1,2,3,-3,-3,10,8,15,1.5,17,32,3.1,0.511,0.51,2.1,1.9,22,1
2010,27,136,521,465,34,122,19,0,6,62,8,4,42,51,0.262,0.329,0.342,0.671,84,159,19,7,2,5,6,-8,-2,-2,20,8,15,1.5,16,32,3.1,0.512,0.51,1,2.9,12,1
2011,28,139,518,475,55,145,32,1,14,65,4,5,33,44,0.305,0.349,0.465,0.814,124,221,21,1,5,4,4,13,-3,-3,-3,8,13,1.4,16,29,2.9,0.51,0.509,3.2,0.6,32,1
2012,29,138,563,505,65,159,28,0,22,76,12,3,45,55,0.315,0.373,0.501,0.874,137,253,10,5,3,5,4,28,-2,-1,18,9,51,5.5,18,69,7.2,0.54,0.534,5.1,2.9,51,1
2013,30,136,541,505,68,161,44,0,12,80,3,2,30,55,0.319,0.359,0.477,0.836,129,241,14,3,0,3,4,20,-2,-1,16,8,41,4.4,18,58,6.2,0.533,0.528,4.4,2.7,42,1
2014,31,110,445,404,40,114,21,0,7,38,1,1,28,55,0.282,0.333,0.386,0.719,102,156,14,6,1,6,4,-2,-2,0,14,7,17,1.8,14,32,3.2,0.518,0.512,1.7,2.3,17,1
2015,32,136,530,488,34,132,23,2,4,61,3,1,32,59,0.27,0.31,0.35,0.66,80,171,16,0,1,9,3,-15,-1,-1,8,9,0,0,17,18,1.6,0.5,0.5,0.7,1.8,10,1
2016,33,147,581,534,56,164,38,1,8,58,3,2,39,63,0.307,0.36,0.427,0.787,111,228,22,6,0,2,1,9,-2,-2,-2,9,12,1.1,19,31,3,0.509,0.508,3.2,0.7,33,1
2017,34,136,543,501,60,137,27,1,18,82,9,4,28,74,0.273,0.312,0.439,0.751,96,220,14,4,1,9,4,-5,-2,-1,1,8,1,0,18,19,1.7,0.501,0.501,1.7,0.9,18,1
2018,35,123,503,459,55,120,20,0,20,74,4,3,29,66,0.261,0.314,0.436,0.75,103,200,15,9,0,6,0,3,-3,-2,-4,7,1,-0.1,16,18,1.5,0.501,0.501,2.1,0.3,22,1
2019,36,113,452,419,45,113,24,0,10,57,6,0,23,58,0.27,0.312,0.399,0.711,87,167,14,5,0,5,0,-7,1,-1,1,7,1,-0.1,15,15,1.3,0.501,0.5,1.3,0.7,14,0
2020,37,42,156,145,12,38,2,0,4,16,0,0,6,21,0.262,0.303,0.359,0.662,83,52,7,3,1,1,0,-4,-1,-1,1,3,-2,-0.2,5,3,0.3,0.495,0.499,0.2,0.4,2,0
2021,38,121,473,440,45,111,19,0,11,66,3,0,24,79,0.252,0.297,0.37,0.667,86,163,16,5,0,3,1,-8,-2,-3,8,8,3,0.2,16,19,1.8,0.502,0.502,1,1.5,11,1
